LocationID	Location	ParentLocationID	Latitude	Longitude
BFN04_Layer_19	BFN04_Layer_19	BFN04_Layers	0.000000	0.000000
BFN04_Layer_2	BFN04_Layer_2	BFN04_Layers	0.000000	0.000000
BFN04_Layer_20	BFN04_Layer_20	BFN04_Layers	0.000000	0.000000
BFN04_Layer_21	BFN04_Layer_21	BFN04_Layers	0.000000	0.000000
BFN04_Layer_22	BFN04_Layer_22	BFN04_Layers	0.000000	0.000000
BFN04_Layer_23	BFN04_Layer_23	BFN04_Layers	0.000000	0.000000
BFN04_Layer_24	BFN04_Layer_24	BFN04_Layers	0.000000	0.000000
BFN04_Layer_25	BFN04_Layer_25	BFN04_Layers	0.000000	0.000000
BFN04_Layer_26	BFN04_Layer_26	BFN04_Layers	0.000000	0.000000
BFN04_Layer_27	BFN04_Layer_27	BFN04_Layers	0.000000	0.000000
BFN04_Layer_28	BFN04_Layer_28	BFN04_Layers	0.000000	0.000000
BFN04_Layer_29	BFN04_Layer_29	BFN04_Layers	0.000000	0.000000
BFN04_Layer_3	BFN04_Layer_3	BFN04_Layers	0.000000	0.000000
BFN04_Layer_30	BFN04_Layer_30	BFN04_Layers	0.000000	0.000000
BFN04_Layer_4	BFN04_Layer_4	BFN04_Layers	0.000000	0.000000
BFN04_Layer_5	BFN04_Layer_5	BFN04_Layers	0.000000	0.000000
BFN04_Layer_6	BFN04_Layer_6	BFN04_Layers	0.000000	0.000000
BFN04_Layer_7	BFN04_Layer_7	BFN04_Layers	0.000000	0.000000
BFN04_Layer_8	BFN04_Layer_8	BFN04_Layers	0.000000	0.000000
BFN04_Layer_9	BFN04_Layer_9	BFN04_Layers	0.000000	0.000000
BFN04_Layers	BFN04 D3D profiles	BFN04_Layers	34.663980	-87.076962
BFN14_3ft	BFN14_3ft	BFN 14 (US, Backup)	34.682215	-87.097214
BFN14_5ft	BFN14_5ft	BFN 14 (US, Backup)	34.682215	-87.097214
BFN14_7ft	BFN14_7ft	BFN 14 (US, Backup)	34.682215	-87.097214
BFN14_Layer_1	BFN14_Layer_1	BFN14_Layers	0.000000	0.000000
BFN14_Layer_10	BFN14_Layer_10	BFN14_Layers	0.000000	0.000000
BFN14_Layer_11	BFN14_Layer_11	BFN14_Layers	0.000000	0.000000
BFN14_Layer_12	BFN14_Layer_12	BFN14_Layers	0.000000	0.000000
BFN14_Layer_13	BFN14_Layer_13	BFN14_Layers	0.000000	0.000000
BFN14_Layer_14	BFN14_Layer_14	BFN14_Layers	0.000000	0.000000
BFN14_Layer_15	BFN14_Layer_15	BFN14_Layers	0.000000	0.000000
BFN14_Layer_16	BFN14_Layer_16	BFN14_Layers	0.000000	0.000000
BFN14_Layer_17	BFN14_Layer_17	BFN14_Layers	0.000000	0.000000
BFN14_Layer_18	BFN14_Layer_18	BFN14_Layers	0.000000	0.000000
BFN14_Layer_19	BFN14_Layer_19	BFN14_Layers	0.000000	0.000000
BFN14_Layer_2	BFN14_Layer_2	BFN14_Layers	0.000000	0.000000
BFN14_Layer_20	BFN14_Layer_20	BFN14_Layers	0.000000	0.000000
BFN14_Layer_21	BFN14_Layer_21	BFN14_Layers	0.000000	0.000000
BFN14_Layer_22	BFN14_Layer_22	BFN14_Layers	0.000000	0.000000
BFN14_Layer_23	BFN14_Layer_23	BFN14_Layers	0.000000	0.000000
BFN14_Layer_24	BFN14_Layer_24	BFN14_Layers	0.000000	0.000000
BFN14_Layer_25	BFN14_Layer_25	BFN14_Layers	0.000000	0.000000
BFN14_Layer_26	BFN14_Layer_26	BFN14_Layers	0.000000	0.000000
BFN14_Layer_27	BFN14_Layer_27	BFN14_Layers	0.000000	0.000000
BFN14_Layer_28	BFN14_Layer_28	BFN14_Layers	0.000000	0.000000
BFN14_Layer_29	BFN14_Layer_29	BFN14_Layers	0.000000	0.000000
BFN14_Layer_3	BFN14_Layer_3	BFN14_Layers	0.000000	0.000000
BFN14_Layer_30	BFN14_Layer_30	BFN14_Layers	0.000000	0.000000
BFN14_Layer_4	BFN14_Layer_4	BFN14_Layers	0.000000	0.000000
BFN14_Layer_5	BFN14_Layer_5	BFN14_Layers	0.000000	0.000000
